"State","Measure ID","Measure Name","Number of Hospitals Worse","Number_of_Hospitals_Same","Number of Hospitals Better","Number of Hospitals Too Few","Footnote","Start Date","End Date","Number of Hospitals Fewer","Number of Hospitals Average","Number of Hospitals More","Number of Hospitals Too Small"
GA,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,108,0,8,,01/01/2018,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GA,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,1,36,0,41,,07/01/2020,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GA,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,37,0,41,,07/01/2020,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GA,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,3,70,1,31,,07/01/2020,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GA,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,56,0,49,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GA,READM_30_CABG,Rate of readmission for CABG,1,17,0,3,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GA,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,97,1,34,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GA,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,3,91,1,33,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GA,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,1,64,1,23,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GA,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),3,107,0,22,,07/01/2019,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GA,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,1,111,0,20,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GU,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,5,07/01/2017,12/01/2019,Not Available,Not Available,Not Available,Not Available
GU,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,5,07/01/2017,12/01/2019,Not Available,Not Available,Not Available,Not Available
GU,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,5,07/01/2017,12/01/2019,Not Available,Not Available,Not Available,Not Available
GU,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",Not Available,Not Available,Not Available,Not Available,5,01/01/2018,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GU,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,Not Available,Not Available,Not Available,Not Available,5,07/01/2020,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GU,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,Not Available,Not Available,Not Available,Not Available,5,07/01/2020,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GU,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,Not Available,Not Available,Not Available,Not Available,5,07/01/2020,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GU,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,Not Available,Not Available,Not Available,Not Available,5,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GU,READM_30_CABG,Rate of readmission for CABG,Not Available,Not Available,Not Available,Not Available,5,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GU,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,Not Available,Not Available,Not Available,Not Available,5,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GU,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,Not Available,Not Available,Not Available,Not Available,5,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GU,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,Not Available,Not Available,Not Available,Not Available,5,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GU,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),Not Available,Not Available,Not Available,Not Available,5,07/01/2019,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GU,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,Not Available,Not Available,Not Available,Not Available,5,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
HI,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2017,12/01/2019,1,5,1,6
HI,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2017,12/01/2019,1,8,3,2
HI,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2017,12/01/2019,2,10,0,4
HI,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,10,0,3,,01/01/2018,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
HI,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,9,0,4,,07/01/2020,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
HI,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,9,0,4,,07/01/2020,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
HI,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,0,9,0,3,,07/01/2020,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
HI,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,7,0,6,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
HI,READM_30_CABG,Rate of readmission for CABG,0,2,0,4,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
HI,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,11,0,4,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
HI,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,12,0,2,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
HI,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,10,0,1,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
HI,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),0,12,1,4,,07/01/2019,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
HI,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,11,1,4,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IA,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2017,12/01/2019,7,17,1,74
IA,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2017,12/01/2019,13,52,4,48
IA,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2017,12/01/2019,28,75,4,11
IA,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,77,0,19,,01/01/2018,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IA,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,22,0,72,,07/01/2020,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IA,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,22,0,72,,07/01/2020,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IA,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,0,35,0,63,,07/01/2020,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IA,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,25,0,74,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IA,READM_30_CABG,Rate of readmission for CABG,0,11,0,0,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IA,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,61,0,56,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IA,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,68,1,48,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IA,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,55,1,23,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IA,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),1,96,2,19,,07/01/2019,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IA,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,105,2,11,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ID,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2017,12/01/2019,7,3,0,18
ID,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2017,12/01/2019,6,16,0,18
ID,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2017,12/01/2019,11,19,0,12
ID,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,23,0,9,,01/01/2018,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ID,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,8,0,25,,07/01/2020,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ID,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,8,0,25,,07/01/2020,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ID,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,0,19,0,10,,07/01/2020,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ID,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,10,0,18,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ID,READM_30_CABG,Rate of readmission for CABG,0,5,0,0,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ID,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,24,0,16,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ID,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,21,1,18,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ID,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,27,0,5,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ID,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),0,32,3,7,,07/01/2019,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ID,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,30,0,12,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IL,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2017,12/01/2019,4,68,22,69
IL,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2017,12/01/2019,19,100,38,24
IL,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2017,12/01/2019,14,111,49,7
IL,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,149,1,16,,01/01/2018,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IL,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,1,64,0,61,,07/01/2020,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IL,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,1,64,0,61,,07/01/2020,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IL,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,1,97,3,57,,07/01/2020,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IL,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,1,93,0,69,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IL,READM_30_CABG,Rate of readmission for CABG,1,46,0,15,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IL,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,2,160,1,18,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IL,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,6,148,3,24,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IL,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,4,107,2,29,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IL,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),7,162,0,11,,07/01/2019,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IL,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,4,169,1,7,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IN,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2017,12/01/2019,7,36,11,54
IN,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2017,12/01/2019,18,74,10,13
IN,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2017,12/01/2019,19,72,15,10
IN,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",1,109,0,2,,01/01/2018,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IN,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,1,45,0,43,,07/01/2020,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IN,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,46,0,43,,07/01/2020,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IN,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,2,69,0,43,,07/01/2020,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IN,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,53,1,54,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IN,READM_30_CABG,Rate of readmission for CABG,0,27,0,8,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IN,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,106,0,10,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IN,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,1,100,1,13,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IN,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,77,0,21,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IN,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),2,109,1,6,,07/01/2019,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IN,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,1,104,1,10,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KS,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2017,12/01/2019,6,16,1,67
KS,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2017,12/01/2019,9,56,3,59
KS,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2017,12/01/2019,20,76,6,29
KS,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,83,0,24,,01/01/2018,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KS,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,13,0,56,,07/01/2020,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KS,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,12,1,56,,07/01/2020,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KS,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,3,36,1,47,,07/01/2020,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KS,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,23,0,67,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KS,READM_30_CABG,Rate of readmission for CABG,0,12,0,3,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KS,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,66,0,62,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KS,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,2,63,3,59,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KS,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,2,42,2,8,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KS,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),1,112,1,20,,07/01/2019,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KS,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,1,101,0,29,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KY,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2017,12/01/2019,3,22,9,46
KY,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2017,12/01/2019,7,49,20,18
KY,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2017,12/01/2019,12,52,25,5
KY,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,76,0,10,,01/01/2018,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KY,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,1,27,0,34,,07/01/2020,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KY,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,28,0,34,,07/01/2020,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KY,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,0,43,0,31,,07/01/2020,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KY,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,34,0,46,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KY,READM_30_CABG,Rate of readmission for CABG,0,15,0,2,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KY,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,5,81,0,8,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KY,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,3,73,0,18,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KY,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,1,44,0,16,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KY,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),4,82,0,7,,07/01/2019,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KY,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,4,85,0,5,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
LA,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2017,12/01/2019,3,23,8,40
LA,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2017,12/01/2019,5,62,11,22
LA,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2017,12/01/2019,7,65,17,13
LA,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,82,0,9,,01/01/2018,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
LA,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,1,28,0,34,,07/01/2020,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
LA,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,29,0,34,,07/01/2020,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
LA,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,0,48,0,37,,07/01/2020,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
LA,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,34,0,40,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
LA,READM_30_CABG,Rate of readmission for CABG,1,20,0,5,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
LA,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,75,0,25,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
LA,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,2,76,0,22,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
LA,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,50,0,17,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
LA,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),2,94,0,16,,07/01/2019,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
LA,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,88,1,13,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MA,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2017,12/01/2019,0,19,17,21
MA,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2017,12/01/2019,3,25,28,3
MA,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2017,12/01/2019,0,30,27,3
MA,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,49,6,0,,01/01/2018,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MA,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,1,32,0,20,,07/01/2020,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MA,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,32,1,20,,07/01/2020,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MA,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,1,51,1,1,,07/01/2020,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MA,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,1,35,0,21,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MA,READM_30_CABG,Rate of readmission for CABG,0,13,0,0,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MA,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,3,52,0,5,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MA,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,7,49,0,3,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MA,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,1,50,1,3,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MA,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),8,50,1,0,,07/01/2019,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MA,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,6,51,0,3,,07/01/2017,12/01/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MD,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2017,12/01/2019,3,20,12,11
MD,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2017,12/01/2019,5,29,12,1
MD,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2017,12/01/2019,3,22,21,1
MD,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,42,0,3,,01/01/2018,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MD,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,21,0,14,,07/01/2020,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MD,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,20,1,14,,07/01/2020,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MD,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,1,39,0,4,,07/01/2020,12/31/2020,Not Applicable,Not Applicable,Not Applicable,Not Applicable
