Facility ID,Address,Facility Name,Nurse communication - star rating,Doctor communication - star rating,Staff responsiveness - star rating,Communication about medicines - star rating,Discharge information - star rating,Care transition - star rating,Cleanliness - star rating,Quietness - star rating,Overall hospital rating - star rating,Recommend hospital - star rating,Summary star rating,Central Line Associated Bloodstream Infection (ICU + select Wards) Lower CI,Central Line Associated Bloodstream Infection (ICU + select Wards) Upper CI,Central Line Associated Bloodstream Infection (ICU + select Wards) SIR,Central Line Associated Bloodstream Infection (ICU + select Wards) Compared to National,Catheter Associated Urinary Tract Infections (ICU + select Wards) Lower CI,Catheter Associated Urinary Tract Infections (ICU + select Wards) Upper CI,Catheter Associated Urinary Tract Infections (ICU + select Wards) SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards) Compared to National,SSI - Colon Surgery Lower CI,SSI - Colon Surgery Upper CI,SSI - Colon Surgery SIR,SSI - Colon Surgery Compared to National,SSI - Abdominal Hysterectomy Lower CI,SSI - Abdominal Hysterectomy Upper CI,SSI - Abdominal Hysterectomy SIR,SSI - Abdominal Hysterectomy Compared to National,MRSA Bacteremia Lower CI,MRSA Bacteremia Upper CI,MRSA Bacteremia SIR,MRSA Bacteremia Compared to National,Clostridium Difficile (C.Diff) Lower CI,Clostridium Difficile (C.Diff) Upper CI,Clostridium Difficile (C.Diff) SIR,Clostridium Difficile (C.Diff) Compared to National,Mean SIR,Mean Compared to National,Infection Rating
150158,"1111 N RONALD REAGAN PKWY, AVON, IN 46123",IU HEALTH WEST HOSPITAL,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,1.415,4.967,2.786,1.0,0.013,1.247,0.253,2.0,0.375,4.010,1.473,2.0,,,,,--,0.993,0.000,3.0,0.055,0.331,0.149,3.0,0.9322000000000001,2.2,3
150160,"8400 NORTHWEST BLVD, INDIANAPOLIS, IN 46278",ORTHOINDY HOSPITAL,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
150161,"11700 N MERIDIAN ST, CARMEL, IN 46032",INDIANA UNIVERSITY HEALTH NORTH HOSPITAL,3.0,4.0,2.0,3.0,4.0,4.0,3.0,3.0,4.0,5.0,3.0,0.116,2.293,0.694,2.0,0.018,1.768,0.358,2.0,0.091,1.797,0.544,2.0,0.028,2.786,0.565,2.0,0.165,3.250,0.984,2.0,0.002,0.239,0.048,3.0,0.5321666666666667,2.1666666666666665,3
150162,"8111 S EMERSON AVE, INDIANAPOLIS, IN 46237",FRANCISCAN HEALTH INDIANAPOLIS,3.0,3.0,3.0,2.0,4.0,3.0,3.0,2.0,4.0,4.0,3.0,1.162,2.555,1.757,1.0,0.873,1.951,1.331,2.0,0.747,2.468,1.420,2.0,0.531,3.211,1.449,2.0,0.266,1.609,0.726,2.0,0.615,1.012,0.795,2.0,1.2463333333333333,1.8333333333333333,3
150165,"701 SUPERIOR AVE, MUNSTER, IN 46321",FRANCISCAN HEALTH MUNSTER,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,0.609,3.123,1.502,2.0,0.497,3.770,1.563,2.0,0.048,4.702,0.953,2.0,,,,,0.314,6.181,1.871,2.0,0.881,2.444,1.516,2.0,1.4809999999999999,2.0,3
150166,"9301 CONNECTICUT DR, CROWN POINT, IN 46307",PINNACLE HOSPITAL,5.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
150167,"11130 PARKVIEW CIRCLE DR, FORT WAYNE, IN 46845",ORTHOPAEDIC HOSPITAL AT PARKVIEW NORTH,4.0,4.0,5.0,3.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
150168,"7952 W JEFFERSON BLVD, FORT WAYNE, IN 46804",THE ORTHOPAEDIC HOSPITAL OF LUTHERAN HEALTH NETWOR,4.0,4.0,4.0,3.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
150169,"7150 CLEARVISTA DR, INDIANAPOLIS, IN 46256",COMMUNITY HOSPITAL NORTH,3.0,3.0,2.0,3.0,4.0,4.0,2.0,3.0,4.0,4.0,3.0,0.262,1.070,0.564,2.0,0.152,0.919,0.415,3.0,0.916,2.636,1.609,2.0,0.029,2.901,0.588,2.0,0.064,1.267,0.384,2.0,0.305,0.651,0.454,3.0,0.669,2.3333333333333335,4
150173,"5165 MCCARTY LN, LAFAYETTE, IN 47905",INDIANA UNIVERSITY HEALTH ARNETT HOSPITAL,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,--,1.028,0.000,2.0,0.018,1.806,0.366,2.0,0.133,2.629,0.796,2.0,,,,,0.238,2.545,0.935,2.0,0.038,0.287,0.119,3.0,0.44320000000000004,2.2,3
150177,"4455 EDISON LAKES PKWY, MISHAWAKA, IN 46545",UNITY PHYSICIANS HOSPITAL,5.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
150181,"13861 OLIO ROAD, FISHERS, IN 46037",ASCENSION ST VINCENT FISHERS,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,,0.651,6.961,2.558,2.0,2.558,2.0,3
150183,"4011 S MONROE MEDICAL PARK BLVD, BLOOMINGTON, IN 47403",MONROE HOSPITAL,4.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,--,2.574,0.000,2.0,0.0,2.0,3
151300,"1020 HIGH RD, BREMEN, IN 46506",COMMUNITY HOSPITAL OF BREMEN INC,4.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,,0.284,5.605,1.696,2.0,1.696,2.0,3
151310,"10 JOHN KISSINGER DRIVE, WABASH, IN 46992","PARKVIEW WABASH HOSPITAL, INC",4.0,3.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,,--,1.623,0.000,2.0,0.0,2.0,3
151313,"1400 E 9TH ST, ROCHESTER, IN 46975",WOODLAWN HOSPITAL,4.0,5.0,5.0,3.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
151315,"416 E MAUMEE ST, ANGOLA, IN 46703",CAMERON MEMORIAL COMMUNITY HOSPITAL INC,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,0.247,2.647,0.972,2.0,0.972,2.0,3
151317,"1185 N 1000 W, LINTON, IN 47441",GREENE COUNTY GENERAL HOSPITAL,5.0,5.0,5.0,4.0,4.0,5.0,4.0,3.0,5.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
151318,"275 W 12TH ST, PERU, IN 46970",DUKES MEMORIAL HOSPITAL,4.0,5.0,4.0,2.0,4.0,3.0,5.0,4.0,4.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,0.297,5.858,1.773,2.0,1.773,2.0,3
151322,"8885 SR 237, TELL CITY, IN 47586",PERRY COUNTY MEMORIAL HOSPITAL,3.0,3.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
151323,"207 N TOWNLINE RD, LAGRANGE, IN 46761",PARKVIEW LAGRANGE HOSPITAL,4.0,4.0,5.0,4.0,5.0,4.0,4.0,3.0,4.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,,--,2.612,0.000,2.0,0.0,2.0,3
151329,"321 MITCHELL AVE, BATESVILLE, IN 47006",MARGARET MARY COMMUNITY HOSPITAL INC,4.0,3.0,3.0,3.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,,,,,--,2.677,0.000,2.0,,,,,,,,,,,,,0.374,2.841,1.178,2.0,0.589,2.0,3
151330,"1100 MERCER AVE, DECATUR, IN 46733",ADAMS MEMORIAL HOSPITAL,5.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,0.025,2.452,0.497,2.0,0.497,2.0,3
151331,"1141 HOSPITAL DR NW, CORYDON, IN 47112",HARRISON COUNTY HOSPITAL,5.0,4.0,5.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
151332,"720 N LINCOLN ST, GREENSBURG, IN 47240",DECATUR COUNTY MEMORIAL HOSPITAL,4.0,4.0,5.0,3.0,4.0,3.0,5.0,4.0,4.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
160001,"55 UNITYPOINT WAY, MARSHALLTOWN, IA 50158",UNITYPOINT HEALTH - MARSHALLTOWN,4.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
160005,"311 SOUTH CLARK STREET, CARROLL, IA 51401",ST ANTHONY REGIONAL HOSPITAL & NURSING HOME,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,,0.025,2.425,0.492,2.0,0.492,2.0,3
160013,"1518 MULBERRY AVENUE, MUSCATINE, IA 52761",TRINITY MUSCATINE,4.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
160016,"802 KENYON RD, FORT DODGE, IA 50501",TRINITY REGIONAL MEDICAL CENTER,4.0,4.0,4.0,3.0,4.0,3.0,4.0,2.0,4.0,3.0,4.0,0.802,6.087,2.524,2.0,0.030,2.994,0.607,2.0,--,2.554,0.000,2.0,,,,,,,,,0.330,1.998,0.901,2.0,1.008,2.0,3
160028,"800 MERCY DRIVE, COUNCIL BLUFFS, IA 51503",CHI HEALTH MERCY COUNCIL BLUFFS,4.0,3.0,3.0,3.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,,,,,--,2.204,0.000,2.0,,,,,,,,,0.515,5.513,2.026,2.0,0.076,0.578,0.240,3.0,0.7553333333333333,2.3333333333333335,4
160030,"1111 DUFF AVENUE, AMES, IA 50010",MARY GREELEY MEDICAL CENTER,4.0,4.0,3.0,3.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,0.222,4.379,1.325,2.0,0.241,2.576,0.946,2.0,0.018,1.738,0.352,2.0,,,,,0.232,4.563,1.381,2.0,0.399,1.108,0.687,2.0,0.9381999999999999,2.0,3
160032,"204 N 4TH AVE E, NEWTON, IA 50208",MERCYONE NEWTON MEDICAL CENTER,4.0,4.0,4.0,3.0,5.0,3.0,4.0,3.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
160033,"1227 EAST RUSHOLME STREET, DAVENPORT, IA 52803",GENESIS MEDICAL CENTER-DAVENPORT,3.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,0.068,1.332,0.403,2.0,0.595,2.087,1.171,2.0,0.426,1.925,0.973,2.0,,,,,0.088,1.739,0.526,2.0,0.180,0.538,0.323,3.0,0.6792,2.2,3
16003F,"3600 30TH STREET, DES MOINES, IA 50310",VA CENTRAL IOWA HEALTHCARE SYSTEM,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,,,,,--,2.779,0.000,2.0,,,,,,,,,,,,,,,,,0.0,2.0,3
160040,"515 COLLEGE STREET, CEDAR FALLS, IA 50613","SARTORI MEMORIAL HOSPITAL, INC",4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
160045,"1026 A AVE NE, CEDAR RAPIDS, IA 52402",ST LUKES HOSPITAL,4.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,0.130,1.396,0.513,2.0,0.857,3.224,1.757,2.0,--,1.333,0.000,2.0,,,,,--,0.733,0.000,3.0,0.218,0.683,0.402,3.0,0.5344,2.4,4
160047,"933 EAST PIERCE STREET, COUNCIL BLUFFS, IA 51503",METHODIST JENNIE EDMUNDSON,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,0.167,3.301,0.999,2.0,0.706,4.272,1.928,2.0,,,,,0.049,4.784,0.970,2.0,0.036,3.530,0.716,2.0,0.432,1.197,0.743,2.0,1.0712000000000002,2.0,3
16004F,"601 HIGHWAY 6 WEST, IOWA CITY, IA 52246",IOWA CITY VA MEDICAL CENTER,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.028,2.719,0.551,2.0,0.497,3.772,1.564,2.0,,,,,,,,,,,,,,,,,1.0575,2.0,3
160057,"1221 SOUTH GEAR AVENUE, WEST BURLINGTON, IA 52655",SOUTHEAST IOWA REGIONAL MEDICAL CENTER,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,0.030,2.996,0.608,2.0,--,0.841,0.000,3.0,0.163,3.212,0.972,2.0,,,,,--,2.217,0.000,2.0,0.535,1.484,0.921,2.0,0.5002000000000001,2.2,3
160058,"200 HAWKINS DRIVE, IOWA CITY, IA 52242",UNIVERSITY OF IOWA HOSPITAL & CLINICS,3.0,3.0,2.0,3.0,4.0,3.0,3.0,2.0,3.0,4.0,3.0,0.582,1.142,0.826,2.0,0.434,0.925,0.645,3.0,0.769,2.064,1.299,2.0,0.153,1.633,0.600,2.0,0.510,1.207,0.803,2.0,0.281,0.512,0.384,3.0,0.7595000000000001,2.3333333333333335,4
160064,"1000 FOURTH STREET SW, MASON CITY, IA 50401",MERCYONE NORTH IOWA MEDICAL CENTER,3.0,3.0,4.0,3.0,4.0,3.0,4.0,2.0,3.0,3.0,3.0,0.368,1.887,0.907,2.0,0.261,1.180,0.597,2.0,--,1.646,0.000,2.0,,,,,0.192,2.050,0.753,2.0,0.105,0.473,0.239,3.0,0.4992,2.2,3
160067,"3421 WEST NINTH STREET, WATERLOO, IA 50702",MERCYONE WATERLOO MEDICAL CENTER,3.0,3.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,0.860,3.891,1.967,2.0,0.006,0.594,0.120,3.0,--,2.672,0.000,2.0,,,,,0.351,3.759,1.381,2.0,0.539,1.405,0.896,2.0,0.8728,2.2,3
160069,"250 MERCY DRIVE, DUBUQUE, IA 52001",MERCYONE DUBUQUE MEDICAL CENTER,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,5.0,4.0,0.026,2.524,0.512,2.0,--,0.804,0.000,3.0,0.024,2.330,0.472,2.0,,,,,--,2.661,0.000,2.0,0.004,0.401,0.081,3.0,0.213,2.4,4
160079,"701 10TH STREET SE, CEDAR RAPIDS, IA 52403",MERCY MEDICAL CENTER - CEDAR RAPIDS,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,0.089,1.747,0.529,2.0,--,0.391,0.000,3.0,0.019,1.842,0.374,2.0,,,,,0.302,2.290,0.949,2.0,0.268,0.771,0.471,3.0,0.4646,2.4,4
160080,"1410 NORTH 4TH STREET, CLINTON, IA 52732",MERCYONE CLINTON MEDICAL CENTER,4.0,3.0,5.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,,,,,0.156,3.069,0.929,2.0,--,2.359,0.000,2.0,,,,,,,,,0.069,1.369,0.414,2.0,0.44766666666666666,2.0,3
160082,"1200 PLEASANT STREET, DES MOINES, IA 50309",UNITYPOINT HEALTH - DES MOINES IOWA METHODIST MEDI,3.0,4.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,1.140,2.158,1.589,1.0,0.471,1.137,0.749,2.0,0.398,1.317,0.758,2.0,0.025,2.487,0.504,2.0,0.598,1.658,1.028,2.0,0.569,0.958,0.744,3.0,0.8953333333333333,2.0,3
160083,"1111 6TH AVE, DES MOINES, IA 50314",MERCYONE DES MOINES MEDICAL CENTER,3.0,3.0,2.0,3.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,0.235,0.825,0.463,3.0,0.547,1.244,0.843,2.0,0.092,0.980,0.360,3.0,0.036,3.535,0.717,2.0,0.955,2.212,1.485,2.0,0.440,0.826,0.611,3.0,0.7465,2.5,4
160089,"1001 E PENNSYLVANIA, OTTUMWA, IA 52501",OTTUMWA REGIONAL HEALTH CENTER,2.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,0.022,2.188,0.444,2.0,0.444,2.0,3
160101,"1801 HICKMAN ROAD, DES MOINES, IA 50314",BROADLAWNS MEDICAL CENTER,4.0,4.0,2.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,,,,,0.150,2.950,0.893,2.0,,,,,,,,,0.045,4.419,0.896,2.0,0.006,0.600,0.122,3.0,0.637,2.3333333333333335,4
160104,"4500 UTICA RIDGE ROAD, BETTENDORF, IA 52722",TRINITY - BETTENDORF,3.0,3.0,2.0,2.0,4.0,3.0,2.0,4.0,3.0,3.0,3.0,,,,,0.239,4.703,1.423,2.0,0.021,2.026,0.411,2.0,,,,,,,,,0.116,1.239,0.455,2.0,0.763,2.0,3
160110,"1825 LOGAN AVENUE, WATERLOO, IA 50703",ALLEN HOSPITAL,4.0,3.0,3.0,3.0,5.0,3.0,4.0,3.0,4.0,4.0,4.0,0.267,2.026,0.840,2.0,0.133,1.420,0.522,2.0,0.217,2.318,0.852,2.0,,,,,0.209,4.125,1.248,2.0,0.169,0.692,0.364,3.0,0.7651999999999999,2.2,3
160112,"1200 1ST AVENUE EAST, SPENCER, IA 51301",SPENCER MUNICIPAL HOSPITAL,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,0.394,2.992,1.240,2.0,1.24,2.0,3
160117,"350 NORTH GRANDVIEW AVENUE, DUBUQUE, IA 52001",FINLEY HOSPITAL,4.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,1.733,10.485,4.730,1.0,0.326,3.486,1.281,2.0,--,2.642,0.000,2.0,,,,,,,,,0.009,0.847,0.172,3.0,1.54575,2.0,3
160124,"2301 HIGHWAY 71, SPIRIT LAKE, IA 51360",LAKES REGIONAL HEALTHCARE,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,0.216,4.266,1.291,2.0,1.291,2.0,3
160146,"2720 STONE PARK BOULEVARD, SIOUX CITY, IA 51104",ST LUKES REGIONAL MEDICAL CENTER,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,0.713,2.502,1.404,2.0,0.634,2.224,1.248,2.0,0.022,2.133,0.433,2.0,,,,,0.415,3.150,1.306,2.0,0.618,1.566,1.011,2.0,1.0804,2.0,3
160147,"210 FOURTH AVENUE, GRINNELL, IA 50112",GRINNELL REGIONAL MEDICAL CENTER,5.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,,0.036,3.528,0.715,2.0,0.715,2.0,3
160153,"801 5TH ST, SIOUX CITY, IA 51101",MERCYONE SIOUXLAND MEDICAL CENTER,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,0.134,2.637,0.798,2.0,0.010,1.009,0.205,2.0,--,1.172,0.000,2.0,,,,,0.026,2.521,0.511,2.0,0.281,1.148,0.605,2.0,0.42380000000000007,2.0,3
161301,"403 FIRST STREET SE, BELMOND, IA 50421",IOWA SPECIALTY HOSPITAL - BELMOND,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
161302,"1316 SOUTH MAIN STREET, CLARION, IA 50525",IOWA SPECIALTY HOSPITAL - CLARION,5.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
161306,"1795 HIGHWAY 64 EAST, ANAMOSA, IA 52205",JONES REGIONAL MEDICAL CENTER,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
161318,"40 1ST STREET SE, WAUKON, IA 52172",VETERANS MEMORIAL HOSPITAL,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
161339,"312  9TH STREET SW, WAVERLY, IA 50677",WAVERLY HEALTH CENTER,5.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
161343,"709 W MAIN STREET, MANCHESTER, IA 52057",REGIONAL MEDICAL CENTER,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,0.330,6.504,1.969,2.0,1.969,2.0,3
161346,"1101 9TH STREET SE, SIOUX CENTER, IA 51250",SIOUX CENTER HEALTH,5.0,4.0,5.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
161347,"800 11TH ST, CHARLES CITY, IA 50616",FLOYD COUNTY MEDICAL CENTER,4.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
161353,"1515 SOUTH PHILLIPS STREET, ALGONA, IA 50511",KOSSUTH REGIONAL HEALTH CENTER,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,0.272,5.350,1.619,2.0,1.619,2.0,3
161359,"1600 DIAMOND STREET, ONAWA, IA 51040",BURGESS HEALTH CENTER,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
161360,"1000 LINCOLN CIRCLE SE, ORANGE CITY, IA 51041",ORANGE CITY AREA HEALTH SYSTEM,4.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,--,2.883,0.000,2.0,0.0,2.0,3
161361,"2350 HOSPITAL DRIVE, WEBSTER CITY, IA 50595",VAN DIEST MEDICAL CENTER,4.0,5.0,5.0,3.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,,,,,--,2.176,0.000,2.0,,,,,,,,,,,,,,,,,0.0,2.0,3
161362,"300 SIOUX VALLEY DRIVE, CHEROKEE, IA 51012",CHEROKEE REGIONAL MEDICAL CENTER,5.0,4.0,4.0,3.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
161363,"2301 EASTERN AVENUE, RED OAK, IA 51566",MONTGOMERY COUNTY MEMORIAL HOSPITAL,4.0,3.0,5.0,3.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
161364,"2000 S MAIN, FAIRFIELD, IA 52556",JEFFERSON COUNTY HEALTH CENTER,4.0,3.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
161365,"1700 WEST TOWNLINE STREET, CRESTON, IA 50801",GREATER REGIONAL MEDICAL CENTER,5.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,0.048,4.702,0.953,2.0,0.953,2.0,3
161367,"404 JEFFERSON STREET, PELLA, IA 50219",PELLA REGIONAL HEALTH CENTER,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,,,,,--,1.945,0.000,2.0,,,,,,,,,,,,,--,2.499,0.000,2.0,0.0,2.0,3
161368,"714 LINCOLN ST NE, LE MARS, IA 51031",FLOYD VALLEY HEALTHCARE,4.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
161369,"100 MEDICAL PARKWAY, DENISON, IA 51442",CRAWFORD COUNTY MEMORIAL HOSPITAL,4.0,5.0,5.0,3.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
161371,"901 MONTGOMERY STREET, DECORAH, IA 52101",WINNESHIEK MEDICAL CENTER,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
161375,"1525 WEST 5TH STREET, STORM LAKE, IA 50588",BUENA VISTA REGIONAL MEDICAL CENTER,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
161376,"1501 EAST TENTH STREET, ATLANTIC, IA 50022",CASS COUNTY MEMORIAL HOSPITAL,4.0,3.0,5.0,3.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,,,,,0.291,5.736,1.736,2.0,,,,,,,,,,,,,0.030,2.975,0.603,2.0,1.1695,2.0,3
161379,"1229 C AVENUE EAST, OSKALOOSA, IA 52577",MAHASKA  HEALTH PARTNERSHIP,4.0,5.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,--,2.385,0.000,2.0,0.0,2.0,3
170006,"1 MT CARMEL WAY, PITTSBURG, KS 66762",VIA CHRISTI HOSPITAL PITTSBURG INC,3.0,4.0,4.0,3.0,4.0,3.0,5.0,4.0,4.0,3.0,4.0,--,2.850,0.000,2.0,--,2.954,0.000,2.0,,,,,,,,,,,,,0.066,1.302,0.394,2.0,0.13133333333333333,2.0,3
170009,"3500 SOUTH 4TH STREET, LEAVENWORTH, KS 66048",SAINT JOHN HOSPITAL,4.0,4.0,4.0,3.0,3.0,3.0,4.0,5.0,3.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,0.480,5.135,1.887,2.0,1.887,2.0,3
170012,"400 SOUTH SANTA FE AVENUE, SALINA, KS 67401",SALINA REGIONAL HEALTH CENTER,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,--,1.123,0.000,2.0,0.016,1.599,0.324,2.0,--,2.993,0.000,2.0,,,,,--,1.884,0.000,2.0,0.677,1.674,1.092,2.0,0.2832,2.0,3
170013,"2220 CANTERBURY DRIVE, HAYS, KS 67601",HAYS MEDICAL CENTER,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,--,2.348,0.000,2.0,,,,,--,1.657,0.000,2.0,,,,,,,,,0.082,0.877,0.322,3.0,0.10733333333333334,2.3333333333333335,4
170014,"1301 S MAIN STREET, OTTAWA, KS 66067",ADVENTHEALTH OTTAWA,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,0.533,5.706,2.096,2.0,2.096,2.0,3
